FISERV_ACCOUNT_ID,CREDIT_ABUSER_FLAG
C3KVR98QZBFD0217,0
C3K8GFCLC7NM5365,0
C3K8C9H5FWR32503,0
C3K6PLCWQZ2N2138,0
C3KW7Q9QL9FD8368,0
C3K6VDM6NH0D6535,0
C3KSDG96V3BW7515,0
C3KG7F0C179T2964,0
C3KVBZJBG8NZ8368,0
C3L3R76XG4MK7974,0
C3KXQQM74FXB7573,0
C3KHDLR7XWGJ0057,0
C3L3ZH82BQC24384,0
C3L12JQZ04NB1983,0
C3KWS3VHHKWX0249,0
C3K00RLTPH0S7256,0
C3K6RT4MS3454563,0
C3K9RNQV7K9K5941,0
C3KS4XW9T7B83696,0
C3JT5N4RQNPH5034,0
C3K27F9PC5VQ6361,0
C3K7DT4VHBD84769,0
C3L6J2J1GLN16490,0
C3KTHP6D3QQ31911,0
C3KQ29T8VDTN2892,0
C3KHV0PN6T5M8100,0
C3K9VQQQSJRM8002,0
C3L5N62PKD6Z7367,0
C3KM3H54QRC60751,0
C3L5TGKH1M104754,0
C3KZLX0V4X402463,0
C3PVNJ86C3PW2164,0
C3K77DHGJRSB7987,0
C3KNZ842H7WG0989,0
C3F1PJLL71RX8331,0
C3L407SJ0KNL6165,0
C3PT1QQ5XWGS8934,0
C3F2HF4HBXHH4222,0
C3KLLQ9BNQSK2108,0
C3K2F7S2GVG32765,0
C3KHXG7L1VQG9017,0
C3KPBM32C3ZF8453,0
C3KHXJ8B62XW9066,0
C3KSRDN4KVDF6821,0
C3K81XP8S4CG3189,0
C3K5DBFD8PQV0326,0
C3L5QQLX2S769793,0
C3KGWSH1SGMX4589,0
C3F0W763BHPQ3357,0
C3KW9MC118RT0471,0
C3K8DF37JPRF2958,0
C3PRDKPSC83H9514,0
C3L2RB2QK1V93027,0
C3KH4VZRP9R17020,0
C3JT63PPNDQW5158,0
C3KZLNM7VG6Z2323,0
C3JPH7VTVQTX7926,0
C3K77J8V3F8J8233,0
C3L6S71VD0XZ2407,0
C3KHMN3X42TN4513,0
C3KFTCCW77KW7394,0
C3K126772R9H6546,0
C3L35G6LT7FK4297,0
C3K6L9V57ZN78854,0
C3F0QQPMBW391294,0
C3PRTPXFFSGC7665,0
C3K6Q68K4HSB2898,0
C3KV7Q1P16KT9087,0
C3L4MG098NCR0760,0
C3KN27D9BQFZ2144,0
C3K6365NPM499672,0
C3L4K64DTKXQ7923,0
C3KLZ85PM7VS7404,0
C3KQS7ZWSGG46090,0
C3L6NFFJKH4G9908,0
C3KH5W04T9MR7574,0
C3K92X2SMB1W1255,0
C3K5VH9KSG743857,0
C3L02F6KHNRB0391,0
C3F2HQ7ZJ2FF4552,0
C3KZ7XWBR42R5806,0
C3KSLSWRTQCF1665,0
C3K6N6KLDZ3G1304,0
C3L4J7F41X0N7048,0
C3KL9ZF4VP677280,0
C3F1PF4VB0LG8083,0
C3PV4VK6ZN970722,0
C3L7GD3HPW254378,0
C3L7TZJLRFVQ1900,0
C3K0JSLMP4C76430,0
C3K62DL7Z92W8302,0
C3KWMC369BRD6841,0
C3K3F005HNGX0378,0
C3KMHHV0CJBD9927,0
C3KF15VZ5XX65001,0
C3L4MV5T6FZR2196,0
C3L750CDPVD29543,0
C3K7SHG59GCP5342,0
C3JS6XGN7S8Q4111,0
C3DZBD2KTN3K9100,0
C3JQR0PK1W3R6364,0
C3F4FP7MKGZW3223,0
C3KV7L4RG3428964,0
C3KVC9PR9D791539,0
C3KBZN22L6QD5394,0
C3KC3428NQD57564,0
C3K934RHMCXL1495,0
C3JXSNS5631D8975,0
C3L87JQ90K9P6412,0
C3F093FQ015R7201,0
C3L2RSFSQC9T3431,0
C3KLG5GMK5N69666,0
C3L217LMHKBQ1684,0
C3KRKP26W4S00786,0
C3K1G9ZR16173153,0
C3K05RN6XJHG0896,0
C3KHBGPT3WD69323,0
C3KK4C43QMWH7746,0
C3KTSW81XKMZ0862,0
C3JSBH4GPGW34848,0
C3JPQD47ZQD80151,0
C3KQDZ9GBRGG8998,0
C3K7VVRK6CV56811,0
C3L4NX7CWSM75223,0
C3K8RQ33B0D12320,0
C3PSZCQH4K9L7605,0
C3KWB3KVM18X0968,0
C3K5WS5MFDKJ4335,0
C3JWXLK5GXT66004,0
C3K1ZG4N0GCD2691,0
C3L6WS6JVFX85392,0
C3PRL4HW9B8R2377,0
C3KZMQ43LLNG3123,0
C3K23K9C0JQ34937,0
C3KNVL37NC738041,0
C3K9064P89SS9291,0
C3JQRHLW5MCF7388,0
C3JR0B50SX0L8709,0
C3KM4HBPRFXT2112,0
C3JVZPTPVNG46211,0
C3KSTLVLH0Z98298,0
C3L04B5PBJJ01100,0
C3L48G6J189B1728,0
C3KBX1K342Q53928,0
C3KJC8B2WXKX6624,0
C3KG3HSG0VLK1453,0
C3JZ210V2B0F1706,0
C3L23DJJ77R63011,0
C3K0K1VFRDF76794,0
C3K6GL68H75N3095,0
C3L3VT7TT0N30796,0
C3L6J7VTBK7S6649,0
C3PS078SV4552806,0
C3K6FPG1CWSG1081,0
C3K1G5D74L1B2387,0
C3K9VMVTDQL07871,0
C3KJ6JVLWSK43316,0
C3JW8Q4C42NR8027,0
C3JX8X63HP5J3315,0
C3K8DPM5PNKS3097,0
C3JZQNK07Z7Q7968,0
C3F2J4SRSVH14883,0
C3K9H2M4DPG90561,0
C3PRLF7NG4TM2708,0
C3F09DQPB12Z7359,0
C3KQKB22T0301299,0
C3L3QNDFB0817164,0
C3K4RXLDV9ZG6945,0
C3L7WZ8171SP2759,0
C3KKSXJ8KKHV9295,0
C3K4SGF96R7X7521,0
C3L3P6Q24VP65960,0
C3K89T7C2MB90945,0
C3PTZ0231M086803,0
