,feature,importance,fold
0,CODE_GENDER,161,1
1,FLAG_OWN_CAR,5,1
2,FLAG_OWN_REALTY,16,1
3,CNT_CHILDREN,6,1
4,AMT_INCOME_TOTAL,73,1
5,AMT_CREDIT,226,1
6,AMT_ANNUITY,472,1
7,AMT_GOODS_PRICE,248,1
8,REGION_POPULATION_RELATIVE,172,1
9,DAYS_BIRTH,559,1
10,DAYS_EMPLOYED,412,1
11,DAYS_REGISTRATION,268,1
12,DAYS_ID_PUBLISH,324,1
13,OWN_CAR_AGE,262,1
14,FLAG_MOBIL,0,1
15,FLAG_EMP_PHONE,1,1
16,FLAG_WORK_PHONE,68,1
17,FLAG_CONT_MOBILE,0,1
18,FLAG_PHONE,29,1
19,FLAG_EMAIL,1,1
20,CNT_FAM_MEMBERS,19,1
21,REGION_RATING_CLIENT,8,1
22,REGION_RATING_CLIENT_W_CITY,91,1
23,HOUR_APPR_PROCESS_START,84,1
24,REG_REGION_NOT_LIVE_REGION,0,1
25,REG_REGION_NOT_WORK_REGION,0,1
26,LIVE_REGION_NOT_WORK_REGION,11,1
27,REG_CITY_NOT_LIVE_CITY,60,1
28,REG_CITY_NOT_WORK_CITY,5,1
29,LIVE_CITY_NOT_WORK_CITY,4,1
30,EXT_SOURCE_1,915,1
31,EXT_SOURCE_2,824,1
32,EXT_SOURCE_3,802,1
33,APARTMENTS_AVG,27,1
34,BASEMENTAREA_AVG,41,1
35,YEARS_BEGINEXPLUATATION_AVG,33,1
36,YEARS_BUILD_AVG,22,1
37,COMMONAREA_AVG,35,1
38,ELEVATORS_AVG,22,1
39,ENTRANCES_AVG,15,1
40,FLOORSMAX_AVG,14,1
41,FLOORSMIN_AVG,18,1
42,LANDAREA_AVG,27,1
43,LIVINGAPARTMENTS_AVG,12,1
44,LIVINGAREA_AVG,48,1
45,NONLIVINGAPARTMENTS_AVG,26,1
46,NONLIVINGAREA_AVG,32,1
47,APARTMENTS_MODE,35,1
48,BASEMENTAREA_MODE,30,1
49,YEARS_BEGINEXPLUATATION_MODE,49,1
50,YEARS_BUILD_MODE,21,1
51,COMMONAREA_MODE,19,1
52,ELEVATORS_MODE,5,1
53,ENTRANCES_MODE,29,1
54,FLOORSMAX_MODE,3,1
55,FLOORSMIN_MODE,6,1
56,LANDAREA_MODE,61,1
57,LIVINGAPARTMENTS_MODE,25,1
58,LIVINGAREA_MODE,30,1
59,NONLIVINGAPARTMENTS_MODE,4,1
60,NONLIVINGAREA_MODE,41,1
61,APARTMENTS_MEDI,31,1
62,BASEMENTAREA_MEDI,30,1
63,YEARS_BEGINEXPLUATATION_MEDI,42,1
64,YEARS_BUILD_MEDI,10,1
65,COMMONAREA_MEDI,29,1
66,ELEVATORS_MEDI,7,1
67,ENTRANCES_MEDI,19,1
68,FLOORSMAX_MEDI,5,1
69,FLOORSMIN_MEDI,5,1
70,LANDAREA_MEDI,49,1
71,LIVINGAPARTMENTS_MEDI,11,1
72,LIVINGAREA_MEDI,30,1
73,NONLIVINGAPARTMENTS_MEDI,6,1
74,NONLIVINGAREA_MEDI,24,1
75,TOTALAREA_MODE,105,1
76,OBS_30_CNT_SOCIAL_CIRCLE,29,1
77,DEF_30_CNT_SOCIAL_CIRCLE,81,1
78,OBS_60_CNT_SOCIAL_CIRCLE,30,1
79,DEF_60_CNT_SOCIAL_CIRCLE,43,1
80,DAYS_LAST_PHONE_CHANGE,226,1
81,FLAG_DOCUMENT_2,0,1
82,FLAG_DOCUMENT_3,50,1
83,FLAG_DOCUMENT_4,0,1
84,FLAG_DOCUMENT_5,0,1
85,FLAG_DOCUMENT_6,7,1
86,FLAG_DOCUMENT_7,0,1
87,FLAG_DOCUMENT_8,0,1
88,FLAG_DOCUMENT_9,0,1
89,FLAG_DOCUMENT_10,0,1
90,FLAG_DOCUMENT_11,3,1
91,FLAG_DOCUMENT_12,0,1
92,FLAG_DOCUMENT_13,0,1
93,FLAG_DOCUMENT_14,0,1
94,FLAG_DOCUMENT_15,0,1
95,FLAG_DOCUMENT_16,30,1
96,FLAG_DOCUMENT_17,0,1
97,FLAG_DOCUMENT_18,43,1
98,FLAG_DOCUMENT_19,0,1
99,FLAG_DOCUMENT_20,0,1
100,FLAG_DOCUMENT_21,0,1
101,AMT_REQ_CREDIT_BUREAU_HOUR,0,1
102,AMT_REQ_CREDIT_BUREAU_DAY,7,1
103,AMT_REQ_CREDIT_BUREAU_WEEK,21,1
104,AMT_REQ_CREDIT_BUREAU_MON,5,1
105,AMT_REQ_CREDIT_BUREAU_QRT,54,1
106,AMT_REQ_CREDIT_BUREAU_YEAR,39,1
107,NAME_CONTRACT_TYPE_Cashloans,88,1
108,NAME_CONTRACT_TYPE_Revolvingloans,4,1
109,NAME_TYPE_SUITE_Children,4,1
110,NAME_TYPE_SUITE_Family,3,1
111,NAME_TYPE_SUITE_Groupofpeople,0,1
112,NAME_TYPE_SUITE_Other_A,0,1
113,NAME_TYPE_SUITE_Other_B,0,1
114,NAME_TYPE_SUITE_Spousepartner,3,1
115,NAME_TYPE_SUITE_Unaccompanied,3,1
116,NAME_INCOME_TYPE_Businessman,0,1
117,NAME_INCOME_TYPE_Commercialassociate,6,1
118,NAME_INCOME_TYPE_Maternityleave,0,1
119,NAME_INCOME_TYPE_Pensioner,0,1
120,NAME_INCOME_TYPE_Stateservant,30,1
121,NAME_INCOME_TYPE_Student,0,1
122,NAME_INCOME_TYPE_Unemployed,0,1
123,NAME_INCOME_TYPE_Working,30,1
124,NAME_EDUCATION_TYPE_Academicdegree,0,1
125,NAME_EDUCATION_TYPE_Highereducation,59,1
126,NAME_EDUCATION_TYPE_Incompletehigher,8,1
127,NAME_EDUCATION_TYPE_Lowersecondary,3,1
128,NAME_EDUCATION_TYPE_Secondarysecondaryspecial,35,1
129,NAME_FAMILY_STATUS_Civilmarriage,1,1
130,NAME_FAMILY_STATUS_Married,123,1
131,NAME_FAMILY_STATUS_Separated,2,1
132,NAME_FAMILY_STATUS_Singlenotmarried,4,1
133,NAME_FAMILY_STATUS_Unknown,0,1
134,NAME_FAMILY_STATUS_Widow,16,1
135,NAME_HOUSING_TYPE_Coopapartment,0,1
136,NAME_HOUSING_TYPE_Houseapartment,2,1
137,NAME_HOUSING_TYPE_Municipalapartment,7,1
138,NAME_HOUSING_TYPE_Officeapartment,25,1
139,NAME_HOUSING_TYPE_Rentedapartment,1,1
140,NAME_HOUSING_TYPE_Withparents,0,1
141,OCCUPATION_TYPE_Accountants,16,1
142,OCCUPATION_TYPE_Cleaningstaff,0,1
143,OCCUPATION_TYPE_Cookingstaff,0,1
144,OCCUPATION_TYPE_Corestaff,26,1
145,OCCUPATION_TYPE_Drivers,27,1
146,OCCUPATION_TYPE_HRstaff,0,1
147,OCCUPATION_TYPE_Highskilltechstaff,29,1
148,OCCUPATION_TYPE_ITstaff,0,1
149,OCCUPATION_TYPE_Laborers,18,1
150,OCCUPATION_TYPE_LowskillLaborers,8,1
151,OCCUPATION_TYPE_Managers,0,1
152,OCCUPATION_TYPE_Medicinestaff,13,1
153,OCCUPATION_TYPE_Privateservicestaff,6,1
154,OCCUPATION_TYPE_Realtyagents,0,1
155,OCCUPATION_TYPE_Salesstaff,9,1
156,OCCUPATION_TYPE_Secretaries,0,1
157,OCCUPATION_TYPE_Securitystaff,0,1
158,OCCUPATION_TYPE_Waitersbarmenstaff,0,1
159,WEEKDAY_APPR_PROCESS_START_FRIDAY,19,1
160,WEEKDAY_APPR_PROCESS_START_MONDAY,15,1
161,WEEKDAY_APPR_PROCESS_START_SATURDAY,18,1
162,WEEKDAY_APPR_PROCESS_START_SUNDAY,8,1
163,WEEKDAY_APPR_PROCESS_START_THURSDAY,13,1
164,WEEKDAY_APPR_PROCESS_START_TUESDAY,10,1
165,WEEKDAY_APPR_PROCESS_START_WEDNESDAY,2,1
166,ORGANIZATION_TYPE_Advertising,0,1
167,ORGANIZATION_TYPE_Agriculture,0,1
168,ORGANIZATION_TYPE_Bank,14,1
169,ORGANIZATION_TYPE_BusinessEntityType1,0,1
170,ORGANIZATION_TYPE_BusinessEntityType2,0,1
171,ORGANIZATION_TYPE_BusinessEntityType3,33,1
172,ORGANIZATION_TYPE_Cleaning,0,1
173,ORGANIZATION_TYPE_Construction,40,1
174,ORGANIZATION_TYPE_Culture,0,1
175,ORGANIZATION_TYPE_Electricity,0,1
176,ORGANIZATION_TYPE_Emergency,0,1
177,ORGANIZATION_TYPE_Government,18,1
178,ORGANIZATION_TYPE_Hotel,0,1
179,ORGANIZATION_TYPE_Housing,0,1
180,ORGANIZATION_TYPE_Industrytype1,0,1
181,ORGANIZATION_TYPE_Industrytype10,0,1
182,ORGANIZATION_TYPE_Industrytype11,2,1
183,ORGANIZATION_TYPE_Industrytype12,0,1
184,ORGANIZATION_TYPE_Industrytype13,0,1
185,ORGANIZATION_TYPE_Industrytype2,0,1
186,ORGANIZATION_TYPE_Industrytype3,0,1
187,ORGANIZATION_TYPE_Industrytype4,0,1
188,ORGANIZATION_TYPE_Industrytype5,0,1
189,ORGANIZATION_TYPE_Industrytype6,0,1
190,ORGANIZATION_TYPE_Industrytype7,0,1
191,ORGANIZATION_TYPE_Industrytype8,0,1
192,ORGANIZATION_TYPE_Industrytype9,37,1
193,ORGANIZATION_TYPE_Insurance,0,1
194,ORGANIZATION_TYPE_Kindergarten,5,1
195,ORGANIZATION_TYPE_LegalServices,0,1
196,ORGANIZATION_TYPE_Medicine,4,1
197,ORGANIZATION_TYPE_Military,40,1
198,ORGANIZATION_TYPE_Mobile,0,1
199,ORGANIZATION_TYPE_Other,4,1
200,ORGANIZATION_TYPE_Police,21,1
201,ORGANIZATION_TYPE_Postal,0,1
202,ORGANIZATION_TYPE_Realtor,0,1
203,ORGANIZATION_TYPE_Religion,0,1
204,ORGANIZATION_TYPE_Restaurant,0,1
205,ORGANIZATION_TYPE_School,33,1
206,ORGANIZATION_TYPE_Security,0,1
207,ORGANIZATION_TYPE_SecurityMinistries,13,1
208,ORGANIZATION_TYPE_Selfemployed,56,1
209,ORGANIZATION_TYPE_Services,0,1
210,ORGANIZATION_TYPE_Telecom,0,1
211,ORGANIZATION_TYPE_Tradetype1,0,1
212,ORGANIZATION_TYPE_Tradetype2,0,1
213,ORGANIZATION_TYPE_Tradetype3,0,1
214,ORGANIZATION_TYPE_Tradetype4,0,1
215,ORGANIZATION_TYPE_Tradetype5,0,1
216,ORGANIZATION_TYPE_Tradetype6,0,1
217,ORGANIZATION_TYPE_Tradetype7,4,1
218,ORGANIZATION_TYPE_Transporttype1,0,1
219,ORGANIZATION_TYPE_Transporttype2,0,1
220,ORGANIZATION_TYPE_Transporttype3,41,1
221,ORGANIZATION_TYPE_Transporttype4,0,1
222,ORGANIZATION_TYPE_University,0,1
223,ORGANIZATION_TYPE_XNA,0,1
224,FONDKAPREMONT_MODE_notspecified,0,1
225,FONDKAPREMONT_MODE_orgspecaccount,0,1
226,FONDKAPREMONT_MODE_regoperaccount,2,1
227,FONDKAPREMONT_MODE_regoperspecaccount,17,1
228,HOUSETYPE_MODE_blockofflats,0,1
229,HOUSETYPE_MODE_specifichousing,0,1
230,HOUSETYPE_MODE_terracedhouse,0,1
231,WALLSMATERIAL_MODE_Block,1,1
232,WALLSMATERIAL_MODE_Mixed,0,1
233,WALLSMATERIAL_MODE_Monolithic,0,1
234,WALLSMATERIAL_MODE_Others,0,1
235,WALLSMATERIAL_MODE_Panel,8,1
236,WALLSMATERIAL_MODE_Stonebrick,18,1
237,WALLSMATERIAL_MODE_Wooden,0,1
238,EMERGENCYSTATE_MODE_No,0,1
239,EMERGENCYSTATE_MODE_Yes,0,1
240,DAYS_EMPLOYED_PERC,242,1
241,INCOME_CREDIT_PERC,141,1
242,INCOME_PER_PERSON,122,1
243,ANNUITY_INCOME_PERC,325,1
244,PAYMENT_RATE,963,1
245,BURO_DAYS_CREDIT_MIN,84,1
246,BURO_DAYS_CREDIT_MAX,177,1
247,BURO_DAYS_CREDIT_MEAN,129,1
248,BURO_DAYS_CREDIT_VAR,121,1
249,BURO_DAYS_CREDIT_ENDDATE_MIN,75,1
250,BURO_DAYS_CREDIT_ENDDATE_MAX,189,1
251,BURO_DAYS_CREDIT_ENDDATE_MEAN,117,1
252,BURO_DAYS_CREDIT_UPDATE_MEAN,106,1
253,BURO_CREDIT_DAY_OVERDUE_MAX,0,1
254,BURO_CREDIT_DAY_OVERDUE_MEAN,0,1
255,BURO_AMT_CREDIT_MAX_OVERDUE_MEAN,281,1
256,BURO_AMT_CREDIT_SUM_MAX,100,1
257,BURO_AMT_CREDIT_SUM_MEAN,158,1
258,BURO_AMT_CREDIT_SUM_SUM,138,1
259,BURO_AMT_CREDIT_SUM_DEBT_MAX,66,1
260,BURO_AMT_CREDIT_SUM_DEBT_MEAN,165,1
261,BURO_AMT_CREDIT_SUM_DEBT_SUM,100,1
262,BURO_AMT_CREDIT_SUM_OVERDUE_MEAN,41,1
263,BURO_AMT_CREDIT_SUM_LIMIT_MEAN,75,1
264,BURO_AMT_CREDIT_SUM_LIMIT_SUM,40,1
265,BURO_AMT_ANNUITY_MAX,29,1
266,BURO_AMT_ANNUITY_MEAN,33,1
267,BURO_CNT_CREDIT_PROLONG_SUM,0,1
268,BURO_MONTHS_BALANCE_MIN_MIN,37,1
269,BURO_MONTHS_BALANCE_MAX_MAX,0,1
270,BURO_MONTHS_BALANCE_SIZE_MEAN,33,1
271,BURO_MONTHS_BALANCE_SIZE_SUM,65,1
272,BURO_CREDIT_ACTIVE_Active_MEAN,71,1
273,BURO_CREDIT_ACTIVE_Baddebt_MEAN,0,1
274,BURO_CREDIT_ACTIVE_Closed_MEAN,79,1
275,BURO_CREDIT_ACTIVE_Sold_MEAN,6,1
276,BURO_CREDIT_ACTIVE_nan_MEAN,0,1
277,BURO_CREDIT_CURRENCY_currency1_MEAN,0,1
278,BURO_CREDIT_CURRENCY_currency2_MEAN,0,1
279,BURO_CREDIT_CURRENCY_currency3_MEAN,0,1
280,BURO_CREDIT_CURRENCY_currency4_MEAN,0,1
281,BURO_CREDIT_CURRENCY_nan_MEAN,0,1
282,BURO_CREDIT_TYPE_Anothertypeofloan_MEAN,0,1
283,BURO_CREDIT_TYPE_Carloan_MEAN,58,1
284,BURO_CREDIT_TYPE_Cashloannonearmarked_MEAN,0,1
285,BURO_CREDIT_TYPE_Consumercredit_MEAN,68,1
286,BURO_CREDIT_TYPE_Creditcard_MEAN,81,1
287,BURO_CREDIT_TYPE_Interbankcredit_MEAN,0,1
288,BURO_CREDIT_TYPE_Loanforbusinessdevelopment_MEAN,0,1
289,BURO_CREDIT_TYPE_Loanforpurchaseofsharesmarginlending_MEAN,0,1
290,BURO_CREDIT_TYPE_Loanforthepurchaseofequipment_MEAN,0,1
291,BURO_CREDIT_TYPE_Loanforworkingcapitalreplenishment_MEAN,0,1
292,BURO_CREDIT_TYPE_Microloan_MEAN,82,1
293,BURO_CREDIT_TYPE_Mobileoperatorloan_MEAN,0,1
294,BURO_CREDIT_TYPE_Mortgage_MEAN,89,1
295,BURO_CREDIT_TYPE_Realestateloan_MEAN,0,1
296,BURO_CREDIT_TYPE_Unknowntypeofloan_MEAN,0,1
297,BURO_CREDIT_TYPE_nan_MEAN,0,1
298,BURO_STATUS_0_MEAN_MEAN,101,1
299,BURO_STATUS_1_MEAN_MEAN,53,1
300,BURO_STATUS_2_MEAN_MEAN,2,1
301,BURO_STATUS_3_MEAN_MEAN,1,1
302,BURO_STATUS_4_MEAN_MEAN,6,1
303,BURO_STATUS_5_MEAN_MEAN,0,1
304,BURO_STATUS_C_MEAN_MEAN,54,1
305,BURO_STATUS_X_MEAN_MEAN,56,1
306,BURO_STATUS_nan_MEAN_MEAN,0,1
307,ACTIVE_DAYS_CREDIT_MIN,102,1
308,ACTIVE_DAYS_CREDIT_MAX,327,1
309,ACTIVE_DAYS_CREDIT_MEAN,166,1
310,ACTIVE_DAYS_CREDIT_VAR,120,1
311,ACTIVE_DAYS_CREDIT_ENDDATE_MIN,276,1
312,ACTIVE_DAYS_CREDIT_ENDDATE_MAX,182,1
313,ACTIVE_DAYS_CREDIT_ENDDATE_MEAN,155,1
314,ACTIVE_DAYS_CREDIT_UPDATE_MEAN,166,1
315,ACTIVE_CREDIT_DAY_OVERDUE_MAX,0,1
316,ACTIVE_CREDIT_DAY_OVERDUE_MEAN,0,1
317,ACTIVE_AMT_CREDIT_MAX_OVERDUE_MEAN,112,1
318,ACTIVE_AMT_CREDIT_SUM_MAX,129,1
319,ACTIVE_AMT_CREDIT_SUM_MEAN,139,1
320,ACTIVE_AMT_CREDIT_SUM_SUM,197,1
321,ACTIVE_AMT_CREDIT_SUM_DEBT_MAX,95,1
322,ACTIVE_AMT_CREDIT_SUM_DEBT_MEAN,184,1
323,ACTIVE_AMT_CREDIT_SUM_DEBT_SUM,127,1
324,ACTIVE_AMT_CREDIT_SUM_OVERDUE_MEAN,40,1
325,ACTIVE_AMT_CREDIT_SUM_LIMIT_MEAN,126,1
326,ACTIVE_AMT_CREDIT_SUM_LIMIT_SUM,80,1
327,ACTIVE_AMT_ANNUITY_MAX,19,1
328,ACTIVE_AMT_ANNUITY_MEAN,42,1
329,ACTIVE_CNT_CREDIT_PROLONG_SUM,2,1
330,ACTIVE_MONTHS_BALANCE_MIN_MIN,20,1
331,ACTIVE_MONTHS_BALANCE_MAX_MAX,8,1
332,ACTIVE_MONTHS_BALANCE_SIZE_MEAN,90,1
333,ACTIVE_MONTHS_BALANCE_SIZE_SUM,33,1
334,CLOSED_DAYS_CREDIT_MIN,82,1
335,CLOSED_DAYS_CREDIT_MAX,222,1
336,CLOSED_DAYS_CREDIT_MEAN,86,1
337,CLOSED_DAYS_CREDIT_VAR,120,1
338,CLOSED_DAYS_CREDIT_ENDDATE_MIN,93,1
339,CLOSED_DAYS_CREDIT_ENDDATE_MAX,160,1
340,CLOSED_DAYS_CREDIT_ENDDATE_MEAN,86,1
341,CLOSED_DAYS_CREDIT_UPDATE_MEAN,125,1
342,CLOSED_CREDIT_DAY_OVERDUE_MAX,0,1
343,CLOSED_CREDIT_DAY_OVERDUE_MEAN,0,1
344,CLOSED_AMT_CREDIT_MAX_OVERDUE_MEAN,73,1
345,CLOSED_AMT_CREDIT_SUM_MAX,130,1
346,CLOSED_AMT_CREDIT_SUM_MEAN,149,1
347,CLOSED_AMT_CREDIT_SUM_SUM,137,1
348,CLOSED_AMT_CREDIT_SUM_DEBT_MAX,18,1
349,CLOSED_AMT_CREDIT_SUM_DEBT_MEAN,5,1
350,CLOSED_AMT_CREDIT_SUM_DEBT_SUM,1,1
351,CLOSED_AMT_CREDIT_SUM_OVERDUE_MEAN,0,1
352,CLOSED_AMT_CREDIT_SUM_LIMIT_MEAN,3,1
353,CLOSED_AMT_CREDIT_SUM_LIMIT_SUM,0,1
354,CLOSED_AMT_ANNUITY_MAX,56,1
355,CLOSED_AMT_ANNUITY_MEAN,21,1
356,CLOSED_CNT_CREDIT_PROLONG_SUM,0,1
357,CLOSED_MONTHS_BALANCE_MIN_MIN,25,1
358,CLOSED_MONTHS_BALANCE_MAX_MAX,5,1
359,CLOSED_MONTHS_BALANCE_SIZE_MEAN,81,1
360,CLOSED_MONTHS_BALANCE_SIZE_SUM,35,1
361,PREV_AMT_ANNUITY_MIN,110,1
362,PREV_AMT_ANNUITY_MAX,76,1
363,PREV_AMT_ANNUITY_MEAN,128,1
364,PREV_AMT_APPLICATION_MIN,44,1
365,PREV_AMT_APPLICATION_MAX,35,1
366,PREV_AMT_APPLICATION_MEAN,84,1
367,PREV_AMT_CREDIT_MIN,51,1
368,PREV_AMT_CREDIT_MAX,59,1
369,PREV_AMT_CREDIT_MEAN,60,1
370,PREV_APP_CREDIT_PERC_MIN,122,1
371,PREV_APP_CREDIT_PERC_MAX,103,1
372,PREV_APP_CREDIT_PERC_MEAN,155,1
373,PREV_APP_CREDIT_PERC_VAR,155,1
374,PREV_AMT_DOWN_PAYMENT_MIN,22,1
375,PREV_AMT_DOWN_PAYMENT_MAX,87,1
376,PREV_AMT_DOWN_PAYMENT_MEAN,54,1
377,PREV_AMT_GOODS_PRICE_MIN,78,1
378,PREV_AMT_GOODS_PRICE_MAX,18,1
379,PREV_AMT_GOODS_PRICE_MEAN,76,1
380,PREV_HOUR_APPR_PROCESS_START_MIN,40,1
381,PREV_HOUR_APPR_PROCESS_START_MAX,53,1
382,PREV_HOUR_APPR_PROCESS_START_MEAN,130,1
383,PREV_RATE_DOWN_PAYMENT_MIN,37,1
384,PREV_RATE_DOWN_PAYMENT_MAX,83,1
385,PREV_RATE_DOWN_PAYMENT_MEAN,80,1
386,PREV_DAYS_DECISION_MIN,79,1
387,PREV_DAYS_DECISION_MAX,141,1
388,PREV_DAYS_DECISION_MEAN,92,1
389,PREV_CNT_PAYMENT_MEAN,332,1
390,PREV_CNT_PAYMENT_SUM,57,1
391,PREV_NAME_CONTRACT_TYPE_Cashloans_MEAN,27,1
392,PREV_NAME_CONTRACT_TYPE_Consumerloans_MEAN,20,1
393,PREV_NAME_CONTRACT_TYPE_Revolvingloans_MEAN,31,1
394,PREV_NAME_CONTRACT_TYPE_XNA_MEAN,0,1
395,PREV_NAME_CONTRACT_TYPE_nan_MEAN,0,1
396,PREV_WEEKDAY_APPR_PROCESS_START_FRIDAY_MEAN,77,1
397,PREV_WEEKDAY_APPR_PROCESS_START_MONDAY_MEAN,105,1
398,PREV_WEEKDAY_APPR_PROCESS_START_SATURDAY_MEAN,64,1
399,PREV_WEEKDAY_APPR_PROCESS_START_SUNDAY_MEAN,25,1
400,PREV_WEEKDAY_APPR_PROCESS_START_THURSDAY_MEAN,61,1
401,PREV_WEEKDAY_APPR_PROCESS_START_TUESDAY_MEAN,57,1
402,PREV_WEEKDAY_APPR_PROCESS_START_WEDNESDAY_MEAN,70,1
403,PREV_WEEKDAY_APPR_PROCESS_START_nan_MEAN,0,1
404,PREV_FLAG_LAST_APPL_PER_CONTRACT_N_MEAN,0,1
405,PREV_FLAG_LAST_APPL_PER_CONTRACT_Y_MEAN,0,1
406,PREV_FLAG_LAST_APPL_PER_CONTRACT_nan_MEAN,0,1
407,PREV_NAME_CASH_LOAN_PURPOSE_Buildingahouseoranannex_MEAN,0,1
408,PREV_NAME_CASH_LOAN_PURPOSE_Businessdevelopment_MEAN,0,1
409,PREV_NAME_CASH_LOAN_PURPOSE_Buyingagarage_MEAN,0,1
410,PREV_NAME_CASH_LOAN_PURPOSE_Buyingaholidayhomeland_MEAN,0,1
411,PREV_NAME_CASH_LOAN_PURPOSE_Buyingahome_MEAN,0,1
412,PREV_NAME_CASH_LOAN_PURPOSE_Buyinganewcar_MEAN,0,1
413,PREV_NAME_CASH_LOAN_PURPOSE_Buyingausedcar_MEAN,0,1
414,PREV_NAME_CASH_LOAN_PURPOSE_Carrepairs_MEAN,11,1
415,PREV_NAME_CASH_LOAN_PURPOSE_Education_MEAN,0,1
416,PREV_NAME_CASH_LOAN_PURPOSE_Everydayexpenses_MEAN,0,1
417,PREV_NAME_CASH_LOAN_PURPOSE_Furniture_MEAN,0,1
418,PREV_NAME_CASH_LOAN_PURPOSE_Gasificationwatersupply_MEAN,0,1
419,PREV_NAME_CASH_LOAN_PURPOSE_Hobby_MEAN,0,1
420,PREV_NAME_CASH_LOAN_PURPOSE_Journey_MEAN,0,1
421,PREV_NAME_CASH_LOAN_PURPOSE_Medicine_MEAN,9,1
422,PREV_NAME_CASH_LOAN_PURPOSE_Moneyforathirdperson_MEAN,0,1
423,PREV_NAME_CASH_LOAN_PURPOSE_Other_MEAN,4,1
424,PREV_NAME_CASH_LOAN_PURPOSE_Paymentsonotherloans_MEAN,6,1
425,PREV_NAME_CASH_LOAN_PURPOSE_Purchaseofelectronicequipment_MEAN,0,1
426,PREV_NAME_CASH_LOAN_PURPOSE_Refusaltonamethegoal_MEAN,0,1
427,PREV_NAME_CASH_LOAN_PURPOSE_Repairs_MEAN,16,1
428,PREV_NAME_CASH_LOAN_PURPOSE_Urgentneeds_MEAN,6,1
429,PREV_NAME_CASH_LOAN_PURPOSE_Weddinggiftholiday_MEAN,0,1
430,PREV_NAME_CASH_LOAN_PURPOSE_XAP_MEAN,5,1
431,PREV_NAME_CASH_LOAN_PURPOSE_XNA_MEAN,31,1
432,PREV_NAME_CASH_LOAN_PURPOSE_nan_MEAN,0,1
433,PREV_NAME_CONTRACT_STATUS_Approved_MEAN,73,1
434,PREV_NAME_CONTRACT_STATUS_Canceled_MEAN,48,1
435,PREV_NAME_CONTRACT_STATUS_Refused_MEAN,100,1
436,PREV_NAME_CONTRACT_STATUS_Unusedoffer_MEAN,1,1
437,PREV_NAME_CONTRACT_STATUS_nan_MEAN,0,1
438,PREV_NAME_PAYMENT_TYPE_Cashthroughthebank_MEAN,37,1
439,PREV_NAME_PAYMENT_TYPE_Cashlessfromtheaccountoftheemployer_MEAN,0,1
440,PREV_NAME_PAYMENT_TYPE_Noncashfromyouraccount_MEAN,3,1
441,PREV_NAME_PAYMENT_TYPE_XNA_MEAN,56,1
442,PREV_NAME_PAYMENT_TYPE_nan_MEAN,0,1
443,PREV_CODE_REJECT_REASON_CLIENT_MEAN,1,1
444,PREV_CODE_REJECT_REASON_HC_MEAN,43,1
