,mono_list_attr,mono_list_constr
0,REV5620,-1.0
1,TBCA2527,-1.0
2,BCC5620,-1.0
3,BCA8370,-1.0
4,ALL8325,-1.0
5,TBCC2351,1.0
6,REH7120,1.0
7,BCX7110,1.0
8,ALL8320,-1.0
9,ALL4520,-1.0
10,ALL7938,-1.0
11,IQT9426,1.0
12,IQT9510,-1.0
13,IQT9427,1.0
14,IQT9420,1.0
15,ALL5072,1.0
16,ALL7340,1.0
17,ALL8160,-1.0
18,ALL8164,-1.0
19,ALL8152,-1.0
20,ALL7517,1.0
21,ALL7936,-1.0
22,TBCC4502,1.0
23,TBCC3503,1.0
24,TBCC2503,1.0
25,ALM6280,1.0
26,TBCA3275,-1.0
27,ALL7519,1.0
28,ALM6200,1.0
29,ALL7518,1.0
30,TBCC3205,-1.0
